author,categories,categoryDetails,city,country,domain,gender,impressions,interest,queryId,queryName,reachEstimate,sentiment,url,impact
,"[9538858, 9538835]","[{'id': '9538858', 'name': 'VACCINE BOGOTA', 'parentId': '9538829', 'parentName': 'THEME'}, {'id': '9538835', 'name': 'VACCINE', 'parentId': '9538829', 'parentName': 'THEME'}]",Bogota,Colombia,twitter.com,male,276,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,0.0,negative,http://twitter.com/1/statuses/1357612219413000192,0.0
,[],[],,Colombia,1lockers.net,unknown,0,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,,neutral,https://www.1lockers.net/actualidad-2/vivo-s7t-5g-y-cinco-camaras-para-una-nueva-alternativa-de-gama-media/,
,[],[],Medellin,Colombia,twitter.com,male,444,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,0.0,neutral,http://twitter.com/1/statuses/1357611529781325824,0.0
,[],[],Medellin,Colombia,twitter.com,male,1880,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,1080.0,neutral,http://twitter.com/1/statuses/1357611530926383105,1.5
,[],[],Medellin,Colombia,twitter.com,male,444,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,0.0,neutral,http://twitter.com/1/statuses/1357611520855785473,0.0
,[9538835],"[{'id': '9538835', 'name': 'VACCINE', 'parentId': '9538829', 'parentName': 'THEME'}]",Medellin,Colombia,twitter.com,male,444,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,0.0,neutral,http://twitter.com/1/statuses/1357611516841893888,0.0
,[],[],Cali,Colombia,twitter.com,unknown,548,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,0.0,negative,http://twitter.com/1/statuses/1357611449925971971,0.0
,[],[],Bogota,Colombia,twitter.com,male,194,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,0.0,neutral,http://twitter.com/1/statuses/1357611447430356998,0.0
,[],[],Medellin,Colombia,twitter.com,male,1944,['Business'],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,1137.0,neutral,http://twitter.com/1/statuses/1357610657110228993,1.8
,[],[],Valledupar,Colombia,twitter.com,unknown,4649,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,1917.0,neutral,http://twitter.com/1/statuses/1357610635123716098,25.3
,[],[],Bogota,Colombia,twitter.com,male,115,['Music'],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,0.0,neutral,http://twitter.com/1/statuses/1357610539208372224,0.0
,"[9538858, 9538835]","[{'id': '9538858', 'name': 'VACCINE BOGOTA', 'parentId': '9538829', 'parentName': 'THEME'}, {'id': '9538835', 'name': 'VACCINE', 'parentId': '9538829', 'parentName': 'THEME'}]",Bogota,Colombia,twitter.com,unknown,386,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,0.0,negative,http://twitter.com/1/statuses/1357610414687850496,0.0
,[],[],Medellin,Colombia,twitter.com,unknown,112,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,0.0,neutral,http://twitter.com/1/statuses/1357610399210872832,0.0
,[9538835],"[{'id': '9538835', 'name': 'VACCINE', 'parentId': '9538829', 'parentName': 'THEME'}]",Bucaramanga,Colombia,twitter.com,unknown,45,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,0.0,neutral,http://twitter.com/1/statuses/1357610136160919555,0.0
,"[9538858, 9538835, 9546697]","[{'id': '9538858', 'name': 'VACCINE BOGOTA', 'parentId': '9538829', 'parentName': 'THEME'}, {'id': '9538835', 'name': 'VACCINE', 'parentId': '9538829', 'parentName': 'THEME'}, {'id': '9546697', 'name': 'ANNOYED', 'parentId': '9546694', 'parentName': 'EMOTION'}]",Bogota,Colombia,twitter.com,male,120,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,0.0,negative,http://twitter.com/1/statuses/1357610032343506944,0.0
,[],[],,Colombia,twitter.com,unknown,1153,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,336.0,neutral,http://twitter.com/1/statuses/1357609799291179011,0.0
